anon_id,course_year,course_code,course_name,assessment_mark
Se87def70,2019/0,MATH08057,Introduction to Linear Algebra,70
Sb2e04dcb,2018/9,MATH08057,Introduction to Linear Algebra,0
Sb2e04dcb,2018/9,MATH08058,Calculus and its Applications,13
Scee0b732,2018/9,MATH08057,Introduction to Linear Algebra,96
Scee0b732,2018/9,MATH08058,Calculus and its Applications,85
S787aceb0,2018/9,MATH07003,Fundamentals of Algebra and Calculus,100
S787aceb0,2018/9,MATH08057,Introduction to Linear Algebra,94
S787aceb0,2018/9,MATH08058,Calculus and its Applications,60
Secf1e2bd,2018/9,MATH08058,Calculus and its Applications,0
Sc156570e,2018/9,MATH08058,Calculus and its Applications,16
S35cb77ca,2018/9,MATH08057,Introduction to Linear Algebra,79
S35cb77ca,2018/9,MATH08058,Calculus and its Applications,56
Seea12a2d,2018/9,MATH07003,Fundamentals of Algebra and Calculus,69
Seea12a2d,2018/9,MATH08058,Calculus and its Applications,51
S529f8468,2019/0,MATH08058,Calculus and its Applications,77
S5ea3980b,2019/0,MATH08057,Introduction to Linear Algebra,95
S5ea3980b,2019/0,MATH08058,Calculus and its Applications,100
S420eac10,2018/9,MATH08057,Introduction to Linear Algebra,71
S3b928d7f,2018/9,MATH08057,Introduction to Linear Algebra,89
S3b928d7f,2018/9,MATH08058,Calculus and its Applications,60
S4b385421,2018/9,MATH08057,Introduction to Linear Algebra,65
S4b385421,2018/9,MATH08058,Calculus and its Applications,61
Sf36fd7f0,2019/0,MATH07003,Fundamentals of Algebra and Calculus,55
Se9c3f95a,2018/9,MATH08057,Introduction to Linear Algebra,64
Se9c3f95a,2018/9,MATH08058,Calculus and its Applications,0
Se9c3f95a,2019/0,MATH08058,Calculus and its Applications,74
Sd458ce96,2018/9,MATH08057,Introduction to Linear Algebra,77
Se168a21b,2018/9,MATH08057,Introduction to Linear Algebra,11
S8c7f8177,2018/9,MATH08058,Calculus and its Applications,0
S954d08ef,2018/9,MATH08057,Introduction to Linear Algebra,94
S954d08ef,2018/9,MATH08058,Calculus and its Applications,72
Sb500d14e,2019/0,MATH08058,Calculus and its Applications,100
S152d313e,2018/9,MATH08057,Introduction to Linear Algebra,72
S152d313e,2018/9,MATH08058,Calculus and its Applications,51
S388ebbec,2018/9,MATH08057,Introduction to Linear Algebra,48
S53cd7bb1,2018/9,MATH08058,Calculus and its Applications,49
Sb1b0848c,2018/9,MATH08057,Introduction to Linear Algebra,86
Sb1b0848c,2018/9,MATH08058,Calculus and its Applications,65
