cohort,anon_id,Post,Pre,ILA,CAP,FAC,took_FAC
1819,S6e1374d6,84.5,89.5,95,93,NA,No FAC
1819,S275dfefc,77,58.13,98,100,NA,No FAC
1819,S86cf68e3,63.75,80.75,62,64,NA,No FAC
1819,S6c94147e,93,92.75,56,76,78,FAC
1819,S8cf0572b,100,97,90,90,NA,No FAC
1819,Sbd80b50c,78.5,89.5,83,83,NA,No FAC
1819,Sef892c16,89,92,89,90,NA,No FAC
1819,Sf4c84eb1,87,92,84,75,NA,No FAC
1819,S1b68e3d4,71,58.5,82,71,NA,No FAC
1819,S65cbe81c,76.5,78.25,77,74,NA,No FAC
1819,S3da6c4c4,82,69.38,71,72,NA,No FAC
1819,Sa72a172f,82.5,80.75,78,77,NA,No FAC
1819,S5dac856c,93.38,83.38,96,88,NA,No FAC
1819,Sc6426351,78.75,NA,87,61,NA,No FAC
1819,Sc9b73fa2,62.25,74.13,80,54,NA,No FAC
1819,Sc37b80eb,29.13,NA,72,48,NA,No FAC
1819,S3c3ba7ad,93.88,85,83,55,NA,No FAC
1819,Sd976b3c8,62.63,NA,65,44,NA,No FAC
1819,S8ff9e573,73.88,70.88,91,75,NA,No FAC
1819,S48c4cd49,93.25,87,77,82,NA,No FAC
1819,S43be7090,54,53.25,74,58,NA,No FAC
1819,S6c15f1e3,75.75,81.25,66,49,60,FAC
1819,Sc3e5c2c8,84.5,77,91,66,72,FAC
1819,Sf6882079,76.5,82,86,85,NA,No FAC
1819,S84dd62b3,83.25,80.25,83,76,NA,No FAC
1819,S1899161a,94,84,89,74,NA,No FAC
1819,S391036d4,90,98.13,96,89,NA,No FAC
1819,S265b0c58,73.75,NA,69,60,NA,No FAC
1819,S7f75f85d,95,89.38,87,79,NA,No FAC
1819,S80ed1538,92,85,85,74,NA,No FAC
1819,S85ae9183,93,80.88,95,73,NA,No FAC
1819,S2f1e0cd5,72.63,67,83,58,NA,No FAC
1819,Sfce07e82,81.5,59.25,78,63,58,FAC
1819,S2cf8e900,92.5,82.5,91,91,NA,No FAC
1819,S5c7ee36a,80.25,80.25,86,69,NA,No FAC
1819,S8409beb7,60.13,86.25,83,69,NA,No FAC
1819,S7352a8e9,99.38,95,95,85,NA,No FAC
